[python_calc] | 2020-03-03 10:46:57,601 | DEBUG | > На расчёт 207 переменных ушло 0.013
[python_calc] | 2020-03-03 10:46:57,613 | DEBUG | > На запись ушло 0.011
[python_calc] | 2020-03-03 10:46:58,030 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:46:58,044 | DEBUG | > На расчёт 207 переменных ушло 0.015000999999999999
[python_calc] | 2020-03-03 10:46:58,057 | DEBUG | > На запись ушло 0.011999
[python_calc] | 2020-03-03 10:47:02,165 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:02,225 | DEBUG | > На запись ушло 0.059007
[python_calc] | 2020-03-03 10:47:03,075 | DEBUG | > На расчёт 207 переменных ушло 0.012001999999999999
[python_calc] | 2020-03-03 10:47:03,131 | DEBUG | > На запись ушло 0.055006
[python_calc] | 2020-03-03 10:47:04,368 | DEBUG | > На расчёт 207 переменных ушло 0.012005
[python_calc] | 2020-03-03 10:47:04,384 | DEBUG | > На запись ушло 0.015
[python_calc] | 2020-03-03 10:47:05,200 | DEBUG | > На расчёт 207 переменных ушло 0.013999
[python_calc] | 2020-03-03 10:47:05,256 | DEBUG | > На запись ушло 0.055004
[python_calc] | 2020-03-03 10:47:06,069 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:06,080 | DEBUG | > На запись ушло 0.011
[python_calc] | 2020-03-03 10:47:07,321 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:07,335 | DEBUG | > На запись ушло 0.014003
[python_calc] | 2020-03-03 10:47:08,176 | DEBUG | > На расчёт 207 переменных ушло 0.017998
[python_calc] | 2020-03-03 10:47:08,242 | DEBUG | > На запись ушло 0.065007
[python_calc] | 2020-03-03 10:47:09,477 | ERROR | > Деление на 0 в переменной w2, выражение <code object <module> at 0x000001616C285C00, file "<string>", line 1>
[python_calc] | 2020-03-03 10:47:09,489 | DEBUG | > На расчёт 207 переменных ушло 0.013005
[python_calc] | 2020-03-03 10:47:09,553 | DEBUG | > На запись ушло 0.063001
[python_calc] | 2020-03-03 10:47:10,379 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:10,394 | DEBUG | > На запись ушло 0.014006
[python_calc] | 2020-03-03 10:47:12,057 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:12,112 | DEBUG | > На запись ушло 0.055004
[python_calc] | 2020-03-03 10:47:13,761 | DEBUG | > На расчёт 207 переменных ушло 0.013000999999999999
[python_calc] | 2020-03-03 10:47:13,821 | DEBUG | > На запись ушло 0.060006
[python_calc] | 2020-03-03 10:47:15,048 | DEBUG | > На расчёт 207 переменных ушло 0.012001
[python_calc] | 2020-03-03 10:47:15,061 | DEBUG | > На запись ушло 0.013002999999999999
[python_calc] | 2020-03-03 10:47:15,909 | DEBUG | > На расчёт 207 переменных ушло 0.015000999999999999
[python_calc] | 2020-03-03 10:47:15,973 | DEBUG | > На запись ушло 0.064006
[python_calc] | 2020-03-03 10:47:17,237 | DEBUG | > На расчёт 207 переменных ушло 0.013002
[python_calc] | 2020-03-03 10:47:17,247 | DEBUG | > На запись ушло 0.009999
[python_calc] | 2020-03-03 10:47:18,903 | DEBUG | > На расчёт 207 переменных ушло 0.013002
