[parser] | 2020-03-04 15:03:03,521 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-04 15:03:03,521 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-04 15:03:03,597 | INFO | > [92mOK[0m
[parser] | 2020-03-04 15:03:03,597 | INFO | > Переменных успешно спарсено: 285
[parser] | 2020-03-04 15:03:03,597 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-04 15:03:03,628 | INFO | > Запись переменных
[parser] | 2020-03-04 15:04:46,220 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-04 15:04:47,007 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-04 15:04:47,007 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-04 15:04:47,525 | INFO | > [92mOK[0m
[parser] | 2020-03-04 15:04:47,525 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-04 15:04:47,525 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-04 15:04:47,613 | INFO | > [92mOK[0m
[parser] | 2020-03-04 15:04:47,613 | INFO | > Переменных успешно спарсено: 285
[parser] | 2020-03-04 15:04:47,613 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-04 15:04:47,645 | INFO | > Запись переменных
[parser] | 2020-03-05 09:03:36,319 | INFO | > Проверка наличия файла первоначальной конфигурации... [92mOK[0m
[parser] | 2020-03-05 09:03:37,110 | INFO | > Запуск парсера. Версия
[parser] | 2020-03-05 09:03:37,110 | INFO | > Запуск парсинга таблиц...
[parser] | 2020-03-05 09:03:37,610 | INFO | > [92mOK[0m
[parser] | 2020-03-05 09:03:37,610 | INFO | > Таблиц успешно спарсено: 22
[parser] | 2020-03-05 09:03:37,610 | INFO | > Запуск парсинга переменных...
[parser] | 2020-03-05 09:03:37,688 | INFO | > [92mOK[0m
[parser] | 2020-03-05 09:03:37,689 | INFO | > Переменных успешно спарсено: 285
[parser] | 2020-03-05 09:03:37,689 | INFO | > Запуск парсинга LaTex формул
[parser] | 2020-03-05 09:03:37,722 | INFO | > Запись переменных
